ARREST_DATE,OFNS_DESC,LAW_CAT_CD,ARREST_PRECINCT,AGE_GROUP,PERP_RACE
12/17/2006,SEX CRIMES,F,77,45-64,Black
12/12/2006,RAPE,F,43,<18,Hispanic
12/05/2006,RAPE,F,77,25-44,Black
12/03/2006,ARSON,F,109,25-44,White
11/13/2006,RAPE,F,68,25-44,White
10/04/2006,RAPE,F,77,25-44,Black
09/24/2006,RAPE,F,77,18-24,Black
09/11/2006,SEX CRIMES,F,25,<18,Black
08/30/2006,ARSON,F,23,25-44,Black
07/27/2006,RAPE,F,112,25-44,White
07/11/2006,RAPE,F,73,45-64,Black
07/08/2006,RAPE,F,77,25-44,Black
07/02/2006,ESCAPE 3,F,71,<18,Black
06/15/2006,RAPE,F,75,<18,Hispanic
06/04/2006,RAPE,F,23,65+,Hispanic
05/04/2006,RAPE,F,47,25-44,Black
04/21/2006,RAPE,F,5,25-44,White
04/10/2006,RAPE,F,67,18-24,Black
03/30/2006,RAPE,F,45,25-44,Black
03/07/2006,RAPE,F,120,25-44,Black
03/06/2006,SEX CRIMES,F,25,18-24,Black
03/03/2006,RAPE,F,77,18-24,Black
02/17/2006,RAPE,F,25,25-44,Black
02/10/2006,RAPE,F,84,25-44,Black
01/25/2006,SEX CRIMES,F,84,<18,Black
01/18/2006,RAPE,F,60,18-24,Black
01/17/2006,RAPE,F,47,25-44,Black
01/17/2006,RAPE,F,26,45-64,Black
01/04/2006,RAPE,F,120,18-24,Black
01/03/2006,SEX CRIMES,F,25,45-64,Black
01/03/2006,ARSON,F,33,45-64,Hispanic
12/27/2006,RAPE,F,109,25-44,Hispanic
12/22/2006,GRAND LARCENY,F,83,25-44,Hispanic
12/29/2006,CRIMINAL MISCHIEF & RELATED OFFENSES,M,102,18-24,Asian
12/22/2006,MISCELLANEOUS PENAL LAW,F,47,25-44,Black
12/15/2006,GRAND LARCENY,F,70,25-44,Black
12/20/2006,BURGLARY,F,73,18-24,Black
12/16/2006,ASSAULT 3 & RELATED OFFENSES,M,105,18-24,Black
12/18/2006,DANGEROUS DRUGS,F,107,45-64,White
12/20/2006,OTHER OFFENSES RELATED TO THEFT,M,46,25-44,Black
12/27/2006,OTHER OFFENSES RELATED TO THEFT,M,110,18-24,Asian
12/20/2006,GRAND LARCENY,F,84,45-64,White
12/20/2006,DANGEROUS DRUGS,M,26,18-24,Black
12/31/2006,DANGEROUS WEAPONS,M,120,<18,Hispanic
12/16/2006,ASSAULT 3 & RELATED OFFENSES,M,48,25-44,Black
12/15/2006,OTHER OFFENSES RELATED TO THEFT,M,44,25-44,Hispanic
12/21/2006,CRIMINAL MISCHIEF & RELATED OFFENSES,F,114,18-24,Other
12/28/2006,CRIMINAL TRESPASS,M,72,<18,Hispanic
12/26/2006,DANGEROUS DRUGS,F,120,25-44,Hispanic
12/23/2006,POSSESSION OF STOLEN PROPERTY 5,M,14,25-44,Black
12/14/2006,DANGEROUS WEAPONS,F,67,18-24,Black
12/19/2006,DANGEROUS DRUGS,M,24,45-64,Hispanic
12/30/2006,DANGEROUS DRUGS,M,14,18-24,White
12/22/2006,OTHER TRAFFIC INFRACTION,M,107,18-24,White
12/29/2006,OTHER TRAFFIC INFRACTION,M,84,25-44,Black
12/15/2006,OTHER TRAFFIC INFRACTION,M,46,18-24,Other
12/20/2006,DANGEROUS DRUGS,M,24,45-64,Black
12/28/2006,ROBBERY,F,61,<18,Black
12/19/2006,MISCELLANEOUS PENAL LAW,F,30,25-44,Black
12/21/2006,DANGEROUS DRUGS,M,52,18-24,Hispanic
12/16/2006,BURGLARY,F,1,25-44,Black
12/28/2006,DANGEROUS DRUGS,F,46,25-44,Hispanic
12/29/2006,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,M,34,18-24,Hispanic
12/23/2006,OFFENSES AGAINST PUBLIC ADMINISTRATION,M,103,18-24,Asian
12/20/2006,ASSAULT 3 & RELATED OFFENSES,M,71,25-44,Black
12/23/2006,INTOXICATED/IMPAIRED DRIVING,F,67,65+,Black
12/27/2006,DANGEROUS DRUGS,M,105,<18,Hispanic
12/20/2006,DISORDERLY CONDUCT,V,113,18-24,Black
12/15/2006,DANGEROUS DRUGS,F,76,25-44,White
12/29/2006,DANGEROUS DRUGS,F,73,45-64,Black
12/20/2006,DANGEROUS DRUGS,M,30,25-44,Hispanic
12/16/2006,DANGEROUS DRUGS,F,90,25-44,Hispanic
12/17/2006,FELONY ASSAULT,F,47,18-24,Hispanic
12/14/2006,ROBBERY,F,102,18-24,Black
12/15/2006,POSSESSION OF STOLEN PROPERTY 5,M,14,<18,Black
12/29/2006,OTHER STATE LAWS (NON PENAL LAW),F,113,45-64,Asian
12/21/2006,OTHER STATE LAWS (NON PENAL LAW),F,34,25-44,Other
12/29/2006,DANGEROUS WEAPONS,M,46,18-24,Hispanic
12/31/2006,DISORDERLY CONDUCT,V,48,<18,Black
12/20/2006,MISCELLANEOUS PENAL LAW,V,23,25-44,Hispanic
12/18/2006,ASSAULT 3 & RELATED OFFENSES,M,32,25-44,Black
12/20/2006,CRIMINAL MISCHIEF & RELATED OFFENSES,M,120,<18,Hispanic
12/20/2006,OTHER OFFENSES RELATED TO THEFT,M,41,18-24,Black
12/29/2006,POSSESSION OF STOLEN PROPERTY 5,M,122,25-44,White
12/18/2006,FELONY ASSAULT,F,43,25-44,Hispanic
12/19/2006,CRIMINAL MISCHIEF & RELATED OFFENSES,M,19,45-64,White
12/30/2006,POSSESSION OF STOLEN PROPERTY 5,M,103,25-44,Black
12/18/2006,GRAND LARCENY,F,10,<18,Hispanic
